"Date","Price","Open","High","Low","Vol.","Change %"
"12/14/2001","1,123.10","1,117.90","1,128.30","1,114.50","","0.33%"
"12/13/2001","1,119.40","1,127.60","1,137.10","1,117.80","","-1.56%"
"12/12/2001","1,137.10","1,139.30","1,141.50","1,126.10","","0.03%"
"12/11/2001","1,136.80","1,139.90","1,150.90","1,134.30","","-0.27%"
"12/10/2001","1,139.90","1,152.40","1,158.30","1,139.70","","-1.59%"
"12/07/2001","1,158.30","1,162.50","1,167.10","1,152.70","","-0.75%"
"12/06/2001","1,167.10","1,168.10","1,173.30","1,164.40","","-0.27%"
"12/05/2001","1,170.30","1,151.40","1,173.60","1,143.80","","2.23%"
"12/04/2001","1,144.80","1,134.50","1,144.80","1,128.90","","1.32%"
"12/03/2001","1,129.90","1,139.50","1,139.50","1,125.80","","-0.84%"
"11/30/2001","1,139.50","1,140.00","1,143.60","1,135.90","","-0.06%"
"11/29/2001","1,140.20","1,131.00","1,140.40","1,125.50","","1.04%"
"11/28/2001","1,128.50","1,143.10","1,149.50","1,128.30","","-1.83%"
"11/27/2001","1,149.50","1,152.10","1,163.40","1,140.80","","-0.68%"
"11/26/2001","1,157.40","1,150.30","1,157.90","1,146.20","","0.62%"
"11/23/2001","1,150.30","1,137.00","1,151.00","1,135.90","","1.17%"
"11/21/2001","1,137.00","1,140.20","1,142.70","1,129.80","","-0.50%"
"11/20/2001","1,142.70","1,149.00","1,152.50","1,142.20","","-0.73%"
"11/19/2001","1,151.10","1,143.90","1,151.10","1,138.70","","1.09%"
"11/16/2001","1,138.70","1,142.20","1,143.50","1,129.90","","-0.31%"
"11/15/2001","1,142.20","1,141.20","1,146.50","1,135.10","","0.09%"
"11/14/2001","1,141.20","1,146.30","1,148.30","1,132.90","","0.18%"
"11/13/2001","1,139.10","1,118.30","1,139.10","1,118.30","","1.86%"
"11/12/2001","1,118.30","1,112.70","1,121.70","1,098.30","","-0.18%"
"11/09/2001","1,120.30","1,117.60","1,123.00","1,111.10","","0.16%"
"11/08/2001","1,118.50","1,115.80","1,135.80","1,115.40","","0.24%"
"11/07/2001","1,115.80","1,118.90","1,126.60","1,113.00","","-0.28%"
