"Date","Price","Open","High","Low","Vol.","Change %"
"08/28/2008","1,300.70","1,283.80","1,300.70","1,283.80","","1.48%"
"08/27/2008","1,281.70","1,271.30","1,285.00","1,270.00","","0.80%"
"08/26/2008","1,271.50","1,267.00","1,275.70","1,263.20","","0.37%"
"08/25/2008","1,266.80","1,290.50","1,290.50","1,264.90","","-1.97%"
"08/22/2008","1,292.20","1,277.60","1,293.10","1,277.60","","1.13%"
"08/21/2008","1,277.70","1,271.10","1,281.40","1,265.20","","0.25%"
"08/20/2008","1,274.50","1,267.30","1,276.00","1,261.20","","0.62%"
"08/19/2008","1,266.70","1,276.70","1,276.70","1,263.10","","-0.93%"
"08/18/2008","1,278.60","1,298.10","1,300.20","1,274.50","","-1.51%"
"08/15/2008","1,298.20","1,293.80","1,302.00","1,290.70","","0.41%"
"08/14/2008","1,292.90","1,282.10","1,300.10","1,276.80","","0.55%"
"08/13/2008","1,285.80","1,288.60","1,294.00","1,274.90","","-0.29%"
"08/12/2008","1,289.60","1,304.80","1,304.80","1,285.60","","-1.20%"
"08/11/2008","1,305.30","1,294.40","1,313.20","1,291.40","","0.69%"
"08/08/2008","1,296.30","1,266.30","1,297.80","1,262.10","","2.39%"
"08/07/2008","1,266.10","1,286.50","1,286.50","1,264.30","","-1.79%"
"08/06/2008","1,289.20","1,284.00","1,291.70","1,276.00","","0.33%"
"08/05/2008","1,284.90","1,254.90","1,284.90","1,254.70","","2.87%"
"08/04/2008","1,249.00","1,260.20","1,260.50","1,247.50","","-0.90%"
"08/01/2008","1,260.30","1,269.40","1,270.50","1,254.50","","-0.56%"
"07/31/2008","1,267.40","1,281.40","1,284.90","1,266.00","","-1.32%"
"07/30/2008","1,284.30","1,264.50","1,284.30","1,264.50","","1.67%"
"07/29/2008","1,263.20","1,236.40","1,263.20","1,236.40","","2.33%"
"07/28/2008","1,234.40","1,257.80","1,260.10","1,234.40","","-1.86%"
"07/25/2008","1,257.80","1,253.50","1,263.20","1,251.80","","0.42%"
"07/24/2008","1,252.50","1,283.20","1,283.20","1,251.50","","-2.32%"
"07/23/2008","1,282.20","1,278.90","1,291.20","1,276.10","","0.41%"
"07/22/2008","1,277.00","1,257.10","1,277.40","1,248.80","","1.35%"
"07/21/2008","1,260.00","1,261.80","1,267.70","1,255.70","","-0.06%"
"07/18/2008","1,260.70","1,258.20","1,262.20","1,251.80","","0.03%"
"07/17/2008","1,260.30","1,246.30","1,262.30","1,241.50","","1.20%"
"07/16/2008","1,245.40","1,214.70","1,245.50","1,211.40","","2.51%"
